state,year,month,unemployment_rate,employment,labor_force
Maine,2015.0,10.0,4.1,658459,686563
Maryland,2015.0,10.0,4.8,3016768,3168925
Massachusetts,2015.0,10.0,4.6,3444261,3609632
Michigan,2015.0,10.0,5,4548241,4786771
Minnesota,2015.0,10.0,3.7,2907405,3019206
Mississippi,2015.0,10.0,6.3,1183986,1264017
Missouri,2015.0,10.0,4.7,2909879,3052804
Montana,2015.0,10.0,4.3,499467,521678
Nebraska,2015.0,10.0,3,987747,1018552
Nevada,2015.0,10.0,6.5,1305577,1396707
New Hampshire,2015.0,10.0,3.1,723903,747110
New Jersey,2015.0,10.0,5.1,4354418,4590617
New Mexico,2015.0,10.0,6.6,877466,939028
New York,2015.0,10.0,4.9,9267002,9740366
North Carolina,2015.0,10.0,5.5,4459502,4719324
North Dakota,2015.0,10.0,2.8,400992,412475
Ohio,2015.0,10.0,4.8,5445048,5719033
Oklahoma,2015.0,10.0,4.3,1742362,1821067
Oregon,2015.0,10.0,5.2,1888482,1991370
Pennsylvania,2015.0,10.0,5.3,6152413,6494946
Rhode Island,2015.0,10.0,5.7,530643,562667
South Carolina,2015.0,10.0,5.5,2120519,2243185
South Dakota,2015.0,10.0,2.9,437488,450545
Tennessee,2015.0,10.0,5.1,2926120,3084457
Texas,2015.0,10.0,4.5,12474063,13062295
Utah,2015.0,10.0,3.5,1420602,1472335
Vermont,2015.0,10.0,3.4,338740,350573
Virginia,2015.0,10.0,4.1,4048007,4221568
Washington,2015.0,10.0,5.4,3375795,3570132
West Virginia,2015.0,10.0,6.4,738057,788343
Wisconsin,2015.0,10.0,4.2,2968092,3099569
Wyoming,2015.0,10.0,4.5,286548,300031
Alabama,2015.0,11.0,6,2045804,2176431
Alaska,2015.0,11.0,6.3,337483,360361
Arizona,2015.0,11.0,5.9,2946042,3129489
Arkansas,2015.0,11.0,4.4,1275637,1334180
California,2015.0,11.0,5.8,17787329,18875380
Colorado,2015.0,11.0,3.3,2741401,2835878
Connecticut,2015.0,11.0,5.4,1793823,1896095
Delaware,2015.0,11.0,4.6,444707,466327
District of Columbia,2015.0,11.0,6.5,358428,383528
Florida,2015.0,11.0,5.2,9153493,9653667
Georgia,2015.0,11.0,5.7,4470177,4742569
Hawaii,2015.0,11.0,3.2,665042,686702
Idaho,2015.0,11.0,3.9,774954,806140
Illinois,2015.0,11.0,6,6196100,6592406
Indiana,2015.0,11.0,4.6,3150054,3300603
Iowa,2015.0,11.0,3.7,1642944,1705349
Kansas,2015.0,11.0,4,1441430,1500810
Kentucky,2015.0,11.0,5.2,1881277,1984895
Louisiana,2015.0,11.0,6,2004230,2131345
Maine,2015.0,11.0,4.1,659308,687257
Maryland,2015.0,11.0,4.7,3021734,3171082
Massachusetts,2015.0,11.0,4.5,3449339,3612914
Michigan,2015.0,11.0,4.9,4562325,4798667
Minnesota,2015.0,11.0,3.7,2910779,3022960
Mississippi,2015.0,11.0,6.3,1185882,1266257
Missouri,2015.0,11.0,4.6,2915456,3056290
Montana,2015.0,11.0,4.3,500323,522689
Nebraska,2015.0,11.0,3,989343,1020251
Nevada,2015.0,11.0,6.4,1308257,1398385
New Hampshire,2015.0,11.0,3,725674,748406
New Jersey,2015.0,11.0,5,4364483,4595758
New Mexico,2015.0,11.0,6.5,878127,939278
New York,2015.0,11.0,4.8,9282085,9754221
North Carolina,2015.0,11.0,5.4,4470623,4727836
