soc_code_clean,high_exposure_score,low_exposure_score,ai_exposure_score,soc_code,occupation_title_2020,employment_2020,occupation_title_2025,employment_2025,pct_change
43-5032,2.8075,2.6833333333333336,0.12416666666666654,43-5032,"Dispatchers, Except Police, Fire, and Ambulance",188450.0,"Dispatchers, Except Police, Fire, and Ambulance",202810.0,7.620058370920669
43-5041,2.7525,2.611666666666667,0.14083333333333314,43-5041,"Meter Readers, Utilities",26490.0,"Meter Readers, Utilities",19430.0,-26.651566628916573
43-5051,2.925,2.4949999999999997,0.43000000000000016,43-5051,Postal Service Clerks,86950.0,Postal Service Clerks,73720.0,-15.215641173087983
43-5052,2.1125000000000003,2.4266666666666667,-0.3141666666666665,43-5052,Postal Service Mail Carriers,333570.0,Postal Service Mail Carriers,328820.0,-1.4239889678328388
43-5053,1.8775,1.7166666666666668,0.16083333333333316,43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",105400.0,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",105200.0,-0.18975332068311196
43-5061,2.9124999999999996,2.13,0.7824999999999998,43-5061,"Production, Planning, and Expediting Clerks",362090.0,"Production, Planning, and Expediting Clerks",390160.0,7.752216299814964
43-5071,3.0225,2.375,0.6475,43-5071,"Shipping, Receiving, and Inventory Clerks",727640.0,"Shipping, Receiving, and Inventory Clerks",816870.0,12.262932219229288
43-5111,3.025,2.091666666666667,0.9333333333333331,43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",57960.0,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",53300.0,-8.040027605244997
43-6011,3.1075,1.9166666666666667,1.1908333333333332,43-6011,Executive Secretaries and Executive Administrative Assistants,503390.0,Executive Secretaries and Executive Administrative Assistants,459910.0,-8.637438169212738
43-6012,3.3375,2.1283333333333334,1.2091666666666665,43-6012,Legal Secretaries and Administrative Assistants,160950.0,Legal Secretaries and Administrative Assistants,156280.0,-2.9015222118670394
43-6013,3.305,2.1633333333333336,1.1416666666666666,43-6013,Medical Secretaries and Administrative Assistants,597100.0,Medical Secretaries and Administrative Assistants,961610.0,61.04672584156757
43-6014,3.505,2.1983333333333333,1.3066666666666666,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",1850360.0,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",1706790.0,-7.7590306751118705
43-9021,3.1725,2.085,1.0875,43-9021,Data Entry Keyers,151520.0,Data Entry Keyers,127080.0,-16.129883843717003
43-9022,3.2975,2.131666666666667,1.165833333333333,43-9022,Word Processors and Typists,42920.0,Word Processors and Typists,35010.0,-18.42963653308481
43-9031,2.6174999999999997,1.325,1.2924999999999998,43-9031,Desktop Publishers,7090.0,Desktop Publishers,3350.0,-52.750352609308884
43-9041,2.9625,1.8583333333333334,1.1041666666666665,43-9041,Insurance Claims and Policy Processing Clerks,240740.0,Insurance Claims and Policy Processing Clerks,214260.0,-10.999418459749107
43-9051,2.33,1.9166666666666667,0.41333333333333333,43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",79310.0,"Mail Clerks and Mail Machine Operators, Except Postal Service",55230.0,-30.36187113857017
43-9061,3.0575,1.9283333333333335,1.1291666666666667,43-9061,"Office Clerks, General",2788090.0,"Office Clerks, General",2464940.0,-11.590371903346018
43-9071,2.585,1.945,0.6399999999999999,43-9071,"Office Machine Operators, Except Computer",40640.0,"Office Machine Operators, Except Computer",25130.0,-38.164370078740156
43-9081,2.2225,1.3533333333333333,0.8691666666666669,43-9081,Proofreaders and Copy Markers,6610.0,Proofreaders and Copy Markers,4580.0,-30.71104387291982
43-9111,3.8549999999999995,1.695,2.1599999999999993,43-9111,Statistical Assistants,9320.0,Statistical Assistants,4710.0,-49.46351931330472
45-1011,2.755,2.8433333333333337,-0.08833333333333382,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",22640.0,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",27960.0,23.498233215547703
45-2011,2.835,2.5100000000000002,0.32499999999999973,45-2011,Agricultural Inspectors,13450.0,Agricultural Inspectors,14410.0,7.137546468401487
45-2021,2.9074999999999998,2.518333333333333,0.38916666666666666,45-2021,Animal Breeders,920.0,Animal Breeders,1330.0,44.565217391304344
45-2041,1.75,2.0100000000000002,-0.26000000000000023,45-2041,"Graders and Sorters, Agricultural Products",28640.0,"Graders and Sorters, Agricultural Products",25180.0,-12.081005586592179
45-2091,2.275,2.475,-0.20000000000000018,45-2091,Agricultural Equipment Operators,29220.0,Agricultural Equipment Operators,28500.0,-2.4640657084188913
45-2092,2.205,2.08,0.125,45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",293910.0,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",265500.0,-9.666224354394203
45-2093,2.6875,2.52,0.16749999999999998,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",36820.0,"Farmworkers, Farm, Ranch, and Aquacultural Animals",32810.0,-10.89082020640956
45-4011,2.3025,2.6266666666666665,-0.32416666666666627,45-4011,Forest and Conservation Workers,6490.0,Forest and Conservation Workers,6050.0,-6.779661016949152
45-4021,1.6725,2.0316666666666667,-0.35916666666666663,45-4021,Fallers,4820.0,Fallers,3130.0,-35.06224066390041
45-4022,1.3975,2.518333333333333,-1.1208333333333331,45-4022,Logging Equipment Operators,25560.0,Logging Equipment Operators,21060.0,-17.6056338028169
45-4023,2.51,2.235,0.2749999999999999,45-4023,Log Graders and Scalers,3390.0,Log Graders and Scalers,3070.0,-9.43952802359882
47-1011,2.66625,3.249166666666667,-0.5829166666666672,47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,614080.0,First-Line Supervisors of Construction Trades and Extraction Workers,812210.0,32.26452579468474
47-2011,2.35,2.4483333333333333,-0.09833333333333316,47-2011,Boilermakers,14020.0,Boilermakers,10190.0,-27.31811697574893
47-2021,2.0425,2.766666666666666,-0.7241666666666662,47-2021,Brickmasons and Blockmasons,59940.0,Brickmasons and Blockmasons,52550.0,-12.328995662328996
47-2022,2.19,2.7716666666666665,-0.5816666666666666,47-2022,Stonemasons,11830.0,Stonemasons,7820.0,-33.89687235841082
47-2031,2.825,3.1350000000000002,-0.31000000000000005,47-2031,Carpenters,699300.0,Carpenters,670090.0,-4.1770341770341775
47-2041,2.3625,2.705,-0.34250000000000025,47-2041,Carpet Installers,23020.0,Carpet Installers,13780.0,-40.139009556907034
