soc_code_clean,high_exposure_score,low_exposure_score,ai_exposure_score,soc_code,occupation_title
19-2021,3.2350000000000003,1.8033333333333335,1.4316666666666669,19-2021,Atmospheric and Space Scientists
19-2031,3.13,2.0749999999999997,1.0550000000000002,19-2031,Chemists
19-2032,3.11,2.155,0.9550000000000001,19-2032,Materials Scientists
19-2041,2.881875,2.13125,0.7506249999999999,19-2041,"Environmental Scientists and Specialists, Including Health"
19-2042,2.9925,2.183333333333333,0.809166666666667,19-2042,"Geoscientists, Except Hydrologists and Geographers"
19-2043,2.8899999999999997,1.9416666666666667,0.948333333333333,19-2043,Hydrologists
19-2099,3.2,2.0850000000000004,1.1149999999999998,19-2099,"Physical Scientists, All Other"
19-3011,3.685,1.3958333333333333,2.2891666666666666,19-3011,Economists
19-3022,3.185,1.7266666666666666,1.4583333333333335,19-3022,Survey Researchers
19-3032,2.9325,1.9283333333333335,1.0041666666666667,19-3032,Industrial-Organizational Psychologists
19-3033,2.3875,2.3666666666666667,0.02083333333333348,19-3033,Clinical and Counseling Psychologists
19-3034,2.6625,2.3633333333333333,0.2991666666666668,19-3034,School Psychologists
19-3039,2.9250000000000003,2.3816666666666664,0.5433333333333339,19-3039,"Psychologists, All Other"
19-3041,2.7425,1.545,1.1975000000000002,19-3041,Sociologists
19-3051,2.77,2.486666666666667,0.2833333333333332,19-3051,Urban and Regional Planners
19-3091,2.475,1.6583333333333332,0.8166666666666669,19-3091,Anthropologists and Archeologists
19-3092,2.8575,1.845,1.0125,19-3092,Geographers
19-3093,2.495,2.0166666666666666,0.4783333333333335,19-3093,Historians
19-3094,2.8049999999999997,1.4883333333333333,1.3166666666666664,19-3094,Political Scientists
19-3099,3.18,2.515,0.665,19-3099,"Social Scientists and Related Workers, All Other"
19-4012,2.9125,2.6283333333333334,0.2841666666666667,19-4012,Agricultural Technicians
19-4013,2.5149999999999997,1.7599999999999998,0.7549999999999999,19-4013,Food Science Technicians
19-4021,2.7025,1.8766666666666667,0.8258333333333334,19-4021,Biological Technicians
19-4031,2.6475,1.8366666666666667,0.8108333333333333,19-4031,Chemical Technicians
19-4042,2.85,2.5083333333333333,0.3416666666666668,19-4042,"Environmental Science and Protection Technicians, Including Health"
19-4043,2.755,2.135,0.6200000000000001,19-4043,"Geological Technicians, Except Hydrologic Technicians"
19-4051,2.5975,2.4125,0.18500000000000005,19-4051,Nuclear Technicians
19-4061,2.975,1.7316666666666667,1.2433333333333334,19-4061,Social Science Research Assistants
19-4071,2.8125,2.8699999999999997,-0.05749999999999966,19-4071,Forest and Conservation Technicians
19-4092,2.5324999999999998,2.4033333333333333,0.12916666666666643,19-4092,Forensic Science Technicians
19-4099,3.0949999999999998,2.0925,1.0025,19-4099,"Life, Physical, and Social Science Technicians, All Other"
19-5011,3.0975,3.043333333333333,0.05416666666666714,19-5011,Occupational Health and Safety Specialists
19-5012,3.0575,3.151666666666667,-0.09416666666666673,19-5012,Occupational Health and Safety Technicians
21-1012,2.2975,2.395,-0.09750000000000014,21-1012,"Educational, Guidance, and Career Counselors and Advisors"
21-1013,2.3075,2.3383333333333334,-0.030833333333333268,21-1013,Marriage and Family Therapists
21-1015,2.4875,2.4816666666666665,0.005833333333333357,21-1015,Rehabilitation Counselors
21-1021,2.6774999999999998,2.585,0.0924999999999998,21-1021,"Child, Family, and School Social Workers"
21-1022,2.38,2.6633333333333336,-0.28333333333333366,21-1022,Healthcare Social Workers
21-1023,2.195,2.658333333333333,-0.4633333333333334,21-1023,Mental Health and Substance Abuse Social Workers
21-1091,3.3525,2.705,0.6475,21-1091,Health Education Specialists
21-1092,2.5300000000000002,2.6666666666666665,-0.13666666666666627,21-1092,Probation Officers and Correctional Treatment Specialists
21-1093,2.5475,2.4533333333333336,0.09416666666666629,21-1093,Social and Human Service Assistants
21-1094,2.65,2.6733333333333333,-0.023333333333333428,21-1094,Community Health Workers
21-2011,2.8200000000000003,2.763333333333333,0.05666666666666709,21-2011,Clergy
21-2021,2.44,2.555,-0.11500000000000021,21-2021,"Directors, Religious Activities and Education"
23-1011,2.69,1.9116666666666668,0.7783333333333331,23-1011,Lawyers
23-1012,2.4525,1.5616666666666668,0.8908333333333334,23-1012,Judicial Law Clerks
23-1021,2.4625,1.6266666666666667,0.8358333333333332,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers"
23-1022,2.5075000000000003,2.0316666666666667,0.47583333333333355,23-1022,"Arbitrators, Mediators, and Conciliators"
23-1023,2.25,2.17,0.08000000000000007,23-1023,"Judges, Magistrate Judges, and Magistrates"
23-2011,3.3075,1.9033333333333333,1.4041666666666668,23-2011,Paralegals and Legal Assistants
23-2093,3.0475,1.74,1.3074999999999999,23-2093,"Title Examiners, Abstractors, and Searchers"
25-1011,3.6624999999999996,2.0366666666666666,1.625833333333333,25-1011,"Business Teachers, Postsecondary"
25-1021,3.8075,2.4983333333333335,1.3091666666666666,25-1021,"Computer Science Teachers, Postsecondary"
25-1022,3.005,1.675,1.3299999999999998,25-1022,"Mathematical Science Teachers, Postsecondary"
25-1031,2.9375,2.936666666666667,0.0008333333333330195,25-1031,"Architecture Teachers, Postsecondary"
25-1032,3.665,2.236666666666667,1.4283333333333332,25-1032,"Engineering Teachers, Postsecondary"
25-1041,3.0999999999999996,2.6166666666666667,0.48333333333333295,25-1041,"Agricultural Sciences Teachers, Postsecondary"
25-1042,3.2425,2.018333333333333,1.224166666666667,25-1042,"Biological Science Teachers, Postsecondary"
25-1043,3.375,2.1983333333333333,1.1766666666666667,25-1043,"Forestry and Conservation Science Teachers, Postsecondary"
25-1051,3.005,2.105,0.8999999999999999,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
25-1052,3.15,2.276666666666667,0.8733333333333331,25-1052,"Chemistry Teachers, Postsecondary"
25-1053,3.225,2.3233333333333337,0.9016666666666664,25-1053,"Environmental Science Teachers, Postsecondary"
25-1054,3.21,2.1999999999999997,1.0100000000000002,25-1054,"Physics Teachers, Postsecondary"
25-1061,2.6475,1.9400000000000002,0.7074999999999998,25-1061,"Anthropology and Archeology Teachers, Postsecondary"
25-1062,2.5125,1.7883333333333333,0.7241666666666668,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
25-1063,3.5300000000000002,1.6816666666666666,1.8483333333333336,25-1063,"Economics Teachers, Postsecondary"
25-1064,2.5625,1.5966666666666667,0.9658333333333333,25-1064,"Geography Teachers, Postsecondary"
