job_title,cluster,cluster_v2
Senior Data Analyst - OFCCP,5,48
Data Entry Pharmacy Technician - Part Time (Providence Location),22,10
Sr. Data Analyst and Visualization Engineer,6,59
Database Administrator- Senior,19,30
"HR Product Data Management Analyst, Vice President",10,44
Data Warehouse Architect,29,31
"Data Center Technician, Dojo",15,2
Site Reliability Engineer - ML Systems,3,27
MLT / Medical Laboratory Technologist II - ProMedica Fremont Memorial Hospital - Part Time - Days,20,33
DATABASE ENGINEERING SR MANAGER,7,22
"Data Science Manager, Growth",18,1
Data Reporting & Business Intelligence Associate,25,37
Data Center Team Lead,27,25
"Design Project Manager, 5G Data System",7,24
Sr. Data Platform Engineer,13,59
Vendor Master Data Analyst (2 Openings),5,21
Senior Data Engineer (Remote),6,23
Production Support Data Analyst,5,39
Medical Lab Scientist - MLS / Medical Technologist - MT,20,35
"Senior Software Engineering Manager, Data and Statistical Modeling",16,22
Master Data Projects Administrator,10,39
MLT/Medical Technologist/ Medical Lab Technician,20,35
Data Lake Architect,29,31
"LAB - Medical Lab Scientist (MLS/MT) FT, PT, or PRN",11,45
Data Center Supervisor (Shift A),15,29
"(USA) Staff, Product Manager, Sponsored Products - AI/ML (Ad Relevancy, Recommendations, Predictions)",3,12
IT Supervisor – Data Engineering,10,29
Data Science Manager,18,1
"Senior Software Engineer, VP - Market Data Engineering (Dallas, TX)",16,6
Senior Data Center Critical Facilities Engineer V,15,2
"Distinguished Engineer, Data Architecture",6,36
Senior Software Engineer - Streaming  (Cloud/Data Lake),16,6
"HR Administrator ($52K-$57K, 1+ yrs. HRIS data entry exp. req.)",22,10
"Manager, Data Science and Analytics- (May Be Underfilled)",18,1
Sponsor Funded Professional - Data Scientist : Data Analyst,12,40
"Medical Technologist or MLT, Days - Microbiology, SW",20,33
Registered Nurse (RN) - Medical Laboratory Tech (MLT) - Per Diem,11,43
Senior Data Engineer - Hybrid,6,34
SUPPLY CHAIN DATA ANALYST,5,39
"Scientist I, Machine Learning",24,14
IT PROFESSIONAL 3 - Database Administration,10,28
Machine Learning Data Scientist - Python | AI | NLP - Top Sec... with Security Clearance,24,14
Environmental Forensics and Data Analytics Manager,8,51
Regional Water System Data Manager (PHA2) DOH7813,7,3
"Senior Software Engineer, Machine Learning",24,14
Data Architect/Team Lead,27,25
Sentinel (GBSD) Integrated Functional Capability (IFC) Data Analytics & Software Metrics Manager 2- 10400,8,51
Senior DB2 Database Systems Programmer with Security Clearance,1,19
Sr. Staff Machine Learning Hardware Engineer,24,14
Database Analyst Sr,5,59
Power Systems Engineer - Data Science Applications,18,27
"Co-Team Lead - Surveillance Data Quality Assurance, Bureau of Hepatitis, HIV, and STI",28,25
Data & Analytics Portfolio Manager,8,51
"Data Center Equipment Supply & Inventory Planning, Program Manager",15,3
Senior Data Scientist - Growth Analytics,8,51
Oracle Database Developer and local candidates,17,9
Engineering Data Analyst,5,22
Oracle Database Developer,17,9
Data and Reporting Analyst,5,21
Senior Data Manager | TS/SCI CI Poly,7,42
DataBricks Lead,27,26
BSA/AML Investigator I,10,39
Foreign Service Regional Medical Laboratory Scientist (RMLS),11,43
Research Data Specialist at Northside Hospital Inc.,21,5
Data Visual Design Strategist,10,39
Adjunct Faculty Credit - Computer Information Systems and/or Database,10,27
Manager - Supply Chain Master Data,7,3
Data Center Expert,15,2
Clinical Research Data Management,10,46
Master Data Management Specialist,21,53
"Strategic Advisor 2, CL&PS (Data-Driven Policing)",10,39
"Cybersecurity Senior Data Analyst, Audit Services/Fiscal Audits",5,39
Senior Software Engineer - Machine Learning Platform,13,14
