state,year,month,unemployment_rate,employment,labor_force
Wisconsin,2015.0,3.0,4.6,2948476.0,3091803.0
Wyoming,2015.0,3.0,4.0,289372.0,301424.0
Alabama,2015.0,4.0,6.1,2040484.0,2173967.0
Alaska,2015.0,4.0,6.3,339383.0,362180.0
Arizona,2015.0,4.0,6.2,2909268.0,3101717.0
Arkansas,2015.0,4.0,5.3,1263225.0,1334305.0
California,2015.0,4.0,6.5,17616628.0,18848322.0
Colorado,2015.0,4.0,4.0,2700190.0,2811615.0
Connecticut,2015.0,4.0,5.7,1800501.0,1910119.0
Delaware,2015.0,4.0,4.9,437613.0,460259.0
District of Columbia,2015.0,4.0,7.1,353070.0,380227.0
Florida,2015.0,4.0,5.7,9023183.0,9569380.0
Georgia,2015.0,4.0,6.2,4440239.0,4735953.0
Hawaii,2015.0,4.0,3.6,657239.0,681613.0
Idaho,2015.0,4.0,3.9,764464.0,795780.0
Illinois,2015.0,4.0,6.0,6149640.0,6544294.0
Indiana,2015.0,4.0,5.0,3090897.0,3252300.0
Iowa,2015.0,4.0,3.8,1642018.0,1706203.0
Kansas,2015.0,4.0,4.4,1431866.0,1497182.0
Kentucky,2015.0,4.0,5.3,1877847.0,1982464.0
Louisiana,2015.0,4.0,6.5,2020626.0,2160724.0
Maine,2015.0,4.0,4.6,660181.0,692064.0
Maryland,2015.0,4.0,5.2,3002031.0,3167278.0
Massachusetts,2015.0,4.0,5.0,3446745.0,3626445.0
Michigan,2015.0,4.0,5.7,4494470.0,4766275.0
Minnesota,2015.0,4.0,3.8,2898454.0,3014026.0
Mississippi,2015.0,4.0,6.6,1175386.0,1257989.0
Missouri,2015.0,4.0,5.5,2885247.0,3051973.0
Montana,2015.0,4.0,4.2,497907.0,519870.0
Nebraska,2015.0,4.0,3.0,982306.0,1012259.0
Nevada,2015.0,4.0,7.1,1294093.0,1393710.0
New Hampshire,2015.0,4.0,3.6,722492.0,749781.0
New Jersey,2015.0,4.0,6.1,4319441.0,4601645.0
New Mexico,2015.0,4.0,6.7,879300.0,942216.0
New York,2015.0,4.0,5.5,9204589.0,9740242.0
North Carolina,2015.0,4.0,5.8,4427027.0,4700619.0
North Dakota,2015.0,4.0,2.8,402259.0,413654.0
Ohio,2015.0,4.0,5.1,5436356.0,5727608.0
Oklahoma,2015.0,4.0,4.3,1748825.0,1827272.0
Oregon,2015.0,4.0,5.6,1853504.0,1964359.0
Pennsylvania,2015.0,4.0,5.5,6104015.0,6461555.0
Rhode Island,2015.0,4.0,6.3,531331.0,566925.0
South Carolina,2015.0,4.0,6.2,2100758.0,2240573.0
South Dakota,2015.0,4.0,3.1,435586.0,449658.0
Tennessee,2015.0,4.0,5.8,2894532.0,3074122.0
Texas,2015.0,4.0,4.4,12420862.0,12997813.0
Utah,2015.0,4.0,3.5,1402347.0,1453518.0
Vermont,2015.0,4.0,3.5,340437.0,352923.0
Virginia,2015.0,4.0,4.6,4039414.0,4232210.0
Washington,2015.0,4.0,5.5,3340930.0,3533695.0
West Virginia,2015.0,4.0,6.7,741231.0,794714.0
Wisconsin,2015.0,4.0,4.6,2949987.0,3091466.0
Wyoming,2015.0,4.0,4.0,289115.0,301225.0
Alabama,2015.0,5.0,6.1,2040868.0,2174501.0
Alaska,2015.0,5.0,6.3,339207.0,361928.0
Arizona,2015.0,5.0,6.2,2914891.0,3106411.0
Arkansas,2015.0,5.0,5.2,1265338.0,1334929.0
California,2015.0,5.0,6.4,17643698.0,18852828.0
Colorado,2015.0,5.0,3.9,2704756.0,2813611.0
Connecticut,2015.0,5.0,5.7,1799142.0,1907097.0
Delaware,2015.0,5.0,4.9,438587.0,461075.0
District of Columbia,2015.0,5.0,7.0,353993.0,380770.0
Florida,2015.0,5.0,5.6,9039337.0,9578842.0
Georgia,2015.0,5.0,6.2,4443721.0,4735356.0
Hawaii,2015.0,5.0,3.5,658354.0,682114.0
Idaho,2015.0,5.0,4.0,766262.0,797796.0
Illinois,2015.0,5.0,6.0,6158683.0,6551834.0
Indiana,2015.0,5.0,4.8,3099232.0,3256839.0
Iowa,2015.0,5.0,3.7,1641329.0,1704780.0
Kansas,2015.0,5.0,4.3,1432655.0,1497110.0
Kentucky,2015.0,5.0,5.3,1876487.0,1980575.0
Louisiana,2015.0,5.0,6.4,2019193.0,2156254.0
Maine,2015.0,5.0,4.5,659760.0,690812.0
Maryland,2015.0,5.0,5.1,3006518.0,3169758.0
Massachusetts,2015.0,5.0,4.9,3447680.0,3624724.0
Michigan,2015.0,5.0,5.6,4502137.0,4769372.0
Minnesota,2015.0,5.0,3.8,2902062.0,3017178.0
Mississippi,2015.0,5.0,6.5,1178249.0,1259898.0
Missouri,2015.0,5.0,5.3,2889427.0,3052454.0
Montana,2015.0,5.0,4.2,498101.0,520065.0
Nebraska,2015.0,5.0,3.0,982672.0,1012908.0
Nevada,2015.0,5.0,7.0,1296756.0,1394779.0
New Hampshire,2015.0,5.0,3.5,722321.0,748830.0
New Jersey,2015.0,5.0,6.0,4324741.0,4600754.0
New Mexico,2015.0,5.0,6.7,879126.0,942410.0
