soc_code,occupation_title,employment_2025,forecast_2030,forecast_2035
27-3042,Technical Writers,45500.0,48529.09090909091,48032.727272727265
27-3043,Writers and Authors,47940.0,53284.54545454541,56413.63636363624
27-3091,Interpreters and Translators,52060.0,53368.18181818182,53307.27272727273
27-3092,Court Reporters and Simultaneous Captioners,12870.0,11151.428571428638,9831.785714285797
27-4011,Audio and Video Equipment Technicians,70230.0,62743.63636363635,60895.45454545447
27-4012,Broadcast Technicians,21110.0,19631.81818181812,15727.272727272706
27-4014,Sound Engineering Technicians,13080.0,12147.272727272735,11646.363636363647
27-4021,Photographers,51760.0,49759.09090909088,50445.45454545453
27-4031,"Camera Operators, Television, Video, and Motion Picture",21550.0,24454.545454545412,25829.545454545412
27-4032,Film and Video Editors,25610.0,27240.90909090909,26758.181818181823
29-1011,Chiropractors,39630.0,43840.909090909176,47785.45454545459
29-1021,"Dentists, General",124390.0,129533.6363636367,138632.72727272753
29-1022,Oral and Maxillofacial Surgeons,4910.0,4530.0,4395.0
29-1023,Orthodontists,6210.0,6373.636363636353,6775.0
29-1024,Prosthodontists,870.0,826.5909090909117,923.9393939393922
29-1031,Dietitians and Nutritionists,77570.0,85380.0,94097.72727272753
29-1041,Optometrists,42790.0,45964.54545454541,49504.54545454541
29-1051,Pharmacists,321970.0,344796.3636363642,359592.2727272734
29-1071,Physician Assistants,162150.0,191660.90909090824,223441.3636363633
29-1081,Podiatrists,9680.0,9333.63636363636,9237.727272727272
29-1122,Occupational Therapists,162450.0,173710.90909090918,193828.18181818165
29-1123,Physical Therapists,267330.0,272930.9090909092,293636.3636363642
29-1124,Radiation Therapists,17070.0,16879.090909090897,16722.727272727265
29-1125,Recreational Therapists,14930.0,13381.818181818118,11395.90909090906
29-1126,Respiratory Therapists,139790.0,143686.36363636376,150156.36363636376
29-1127,Speech-Language Pathologists,183390.0,204454.54545454495,229226.81818181835
29-1128,Exercise Physiologists,8560.0,8952.727272727294,9823.636363636353
29-1129,"Therapists, All Other",22640.0,24940.0,30186.363636363763
29-1131,Veterinarians,83900.0,91703.63636363624,100246.36363636376
29-1141,Registered Nurses,3379720.0,3578979.0909090936,3850831.3636363745
29-1151,Nurse Anesthetists,51840.0,56139.090909090824,61870.909090909176
29-1161,Nurse Midwives,7920.0,8671.818181818177,9399.090909090883
29-1171,Nurse Practitioners,323040.0,413087.27272726595,508376.81818181276
29-1181,Audiologists,13660.0,15470.909090909117,16568.181818181823
29-1211,Anesthesiologists,38760.0,49522.857142857276,58842.5
29-1213,Dermatologists,11370.0,12776.0,14136.0
29-1214,Emergency Medicine Physicians,32880.0,31894.0,30804.0
29-1215,Family Medicine Physicians,107510.0,111962.85714285704,115930.71428571409
29-1216,General Internal Medicine Physicians,67150.0,91284.28571428545,110686.0714285709
29-1217,Neurologists,10590.0,11530.0,13180.0
29-1218,Obstetricians and Gynecologists,21260.0,22551.42857142852,24010.357142857043
29-1221,"Pediatricians, General",39390.0,51942.857142857276,62839.28571428545
29-1222,"Physicians, Pathologists",11110.0,11228.0,11068.0
29-1223,Psychiatrists,27980.0,27294.28571428574,28219.28571428574
29-1224,Radiologists,26770.0,22824.0,18584.0
29-1229,"Physicians, All Other",342720.0,433558.0,524658.0
29-1241,"Ophthalmologists, Except Pediatric",8950.0,7303.0,4408.0
29-1291,Acupuncturists,7830.0,9398.0,10298.0
29-1292,Dental Hygienists,222740.0,229234.2857142859,239316.42857142864
29-1299,"Healthcare Diagnosing or Treating Practitioners, All Other",28630.0,33271.0,36046.0
29-2031,Cardiovascular Technologists and Technicians,62960.0,64122.727272727294,67945.45454545459
29-2032,Diagnostic Medical Sonographers,90160.0,102529.09090909176,115941.36363636423
29-2033,Nuclear Medicine Technologists,17080.0,14678.181818181882,13044.545454545529
29-2034,Radiologic Technologists,230490.0,243596.36363636423,259738.6363636367
29-2035,Magnetic Resonance Imaging Technologists,43390.0,46271.81818181812,50079.54545454541
29-2036,Medical Dosimetrists,3410.0,5334.0,6734.0
29-2043,Paramedics,100610.0,106775.0,112920.0
29-2051,Dietetic Technicians,31560.0,22908.18181818188,20234.545454545645
29-2052,Pharmacy Technicians,471680.0,526733.6363636367,573890.0
29-2053,Psychiatric Technicians,156960.0,185258.1818181798,231259.0909090899
29-2055,Surgical Technologists,117460.0,120170.00000000047,125839.09090909129
29-2056,Veterinary Technologists and Technicians,129140.0,147968.18181818165,165347.27272727247
29-2057,Ophthalmic Medical Technicians,71010.0,95830.90909090918,113958.18181818165
29-2061,Licensed Practical and Licensed Vocational Nurses,648410.0,584118.1818181798,541525.4545454532
29-2072,Medical Records Specialists,194720.0,207265.0,221510.0
29-2081,"Opticians, Dispensing",73530.0,76251.81818181823,77390.45454545459
29-2091,Orthotists and Prosthetists,9390.0,11243.636363636353,12395.0
29-2092,Hearing Aid Specialists,11270.0,14070.0,16710.909090909176
29-2099,"Health Technologists and Technicians, All Other",182610.0,218919.69387754984,256171.22448979504
29-9091,Athletic Trainers,30500.0,33390.909090909176,36485.0
29-9092,Genetic Counselors,3740.0,3946.363636363647,4489.090909090912
29-9093,Surgical Assistants,22270.0,29937.0,37062.0
29-9099,"Healthcare Practitioners and Technical Workers, All Other",35010.0,38516.775510204054,39062.89795918364
31-1131,Nursing Assistants,1448910.0,1417472.8571428582,1445805.0000000019
31-1132,Orderlies,52440.0,58897.142857142724,65825.71428571409
31-1133,Psychiatric Aides,35520.0,11681.428571428172,-5931.071428571828
31-2011,Occupational Therapy Assistants,51290.0,55225.45454545459,61167.27272727294
31-2012,Occupational Therapy Aides,4310.0,1544.5454545454122,-602.7272727272939
31-2021,Physical Therapist Assistants,112430.0,122514.54545454495,135742.27272727247
31-2022,Physical Therapist Aides,48150.0,39944.54545454541,36647.727272727294
31-9011,Massage Therapists,98790.0,89258.18181818188,86458.18181818188
31-9091,Dental Assistants,387790.0,408643.6363636367,438547.7272727266
31-9092,Medical Assistants,817870.0,918894.5454545394,1022796.3636363596
31-9093,Medical Equipment Preparers,77420.0,85826.36363636423,98368.6363636367
31-9094,Medical Transcriptionists,41550.0,38412.72727272706,31784.090909090824
31-9095,Pharmacy Aides,39530.0,45698.18181818188,48771.81818181812
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,126580.0,147742.7272727266,171945.0
31-9097,Phlebotomists,143540.0,154801.81818181835,167084.09090909082
31-9099,"Healthcare Support Workers, All Other",109740.0,116814.54545454541,125615.90909090918
33-1011,First-Line Supervisors of Correctional Officers,53380.0,63483.6363636367,70631.81818181835
33-1012,First-Line Supervisors of Police and Detectives,154610.0,181069.0909090899,209253.1818181798
33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,99140.0,117760.9090909101,139352.72727272846
33-1091,First-Line Supervisors of Security Workers,81480.0,110327.0,141752.0
33-2011,Firefighters,345990.0,338647.27272727294,346855.00000000047
33-2021,Fire Inspectors and Investigators,13800.0,15935.454545454588,17196.363636363647
33-2022,Forest Fire Inspectors and Prevention Specialists,2780.0,3397.272727272735,3944.0909090909117
33-3011,Bailiffs,17310.0,15632.727272727294,14641.363636363647
33-3012,Correctional Officers and Jailers,380500.0,319790.90909090824,280353.18181818165
33-3021,Detectives and Criminal Investigators,114430.0,114181.81818181812,117672.7272727273
